strain	virus	date	country
EPI_ISL_418016	hCoV-19	2020-03-10	Portugal
EPI_ISL_423832	hCoV-19	2020-03-23	England
EPI_ISL_418676	hCoV-19	2020-03-10	England
EPI_ISL_423351	hCoV-19	2020-03-28	England
EPI_ISL_418240	hCoV-19	2020-03-16	France
EPI_ISL_415652	hCoV-19	2020-03-05	France
EPI_ISL_422579	hCoV-19	2020-03-30	Netherlands
EPI_ISL_418651	hCoV-19	2020-03-22	Belgium
EPI_ISL_423595	hCoV-19	2020-03-21	England
EPI_ISL_420477	hCoV-19	2020-03-18	England
EPI_ISL_424450	hCoV-19	2020-03-20	Iceland
EPI_ISL_417589	hCoV-19	2020-03-17	Iceland
EPI_ISL_421842	hCoV-19	2020-03-23	England
EPI_ISL_406593	hCoV-19	2020-01-13	China
EPI_ISL_420610	hCoV-19	2020-03-23	France
EPI_ISL_414449	hCoV-19	2020-03-03	Netherlands
EPI_ISL_424652	hCoV-19	2020-04-05	Belgium
EPI_ISL_418430	hCoV-19	2020-03-18	France
EPI_ISL_423648	hCoV-19	2020-03-23	England
EPI_ISL_424445	hCoV-19	2020-03-19	Iceland
EPI_ISL_420767	hCoV-19	2020-03-30	England
EPI_ISL_424516	hCoV-19	2020-03-20	Iceland
EPI_ISL_420729	hCoV-19	2020-03-28	England
EPI_ISL_425902	hCoV-19	2020-03-23	Scotland
EPI_ISL_424630	hCoV-19	2020-04-03	Belgium
EPI_ISL_417862	hCoV-19	2020-03-09	Iceland
EPI_ISL_414424	hCoV-19	2020-03-03	Netherlands
EPI_ISL_419603	hCoV-19	2020-03-16	Luxembourg
EPI_ISL_413021	hCoV-19	2020-02-29	Switzerland
EPI_ISL_423935	hCoV-19	2020-03-18	England
EPI_ISL_421663	hCoV-19	2020-03-10	India
EPI_ISL_423420	hCoV-19	2020-03-29	England
EPI_ISL_413711	hCoV-19	2020-02-XX	China
EPI_ISL_420994	hCoV-19	2020-03-23	Wales
EPI_ISL_417387	hCoV-19	2020-03-06	Australia
EPI_ISL_423438	hCoV-19	2020-03-30	England
EPI_ISL_422939	hCoV-19	2020-03-24	Netherlands
EPI_ISL_421461	hCoV-19	2020-03-20	Portugal
EPI_ISL_414631	hCoV-19	2020-03-04	France
EPI_ISL_423815	hCoV-19	2020-03-23	England
EPI_ISL_417634	hCoV-19	2020-03-18	Iceland
EPI_ISL_417064	hCoV-19	2020-01-21	Hong Kong
EPI_ISL_416384	hCoV-19	2020-02-04	China
EPI_ISL_419170	hCoV-19	2020-03-21	France
EPI_ISL_424605	hCoV-19	2020-03-27	Iceland
EPI_ISL_418692	hCoV-19	2020-03-17	England
EPI_ISL_419939	hCoV-19	2020-03-21	Australia
EPI_ISL_416505	hCoV-19	2020-03-02	France
EPI_ISL_420130	hCoV-19	2020-03-18	Spain
EPI_ISL_425126	hCoV-19	2020-03-18	Germany
EPI_ISL_425548	hCoV-19	2020-03-22	England
EPI_ISL_419917	hCoV-19	2020-03-20	Australia
EPI_ISL_423667	hCoV-19	2020-03-20	England
EPI_ISL_418673	hCoV-19	2020-03-16	England
EPI_ISL_418664	hCoV-19	2020-03-22	Belgium
EPI_ISL_425820	hCoV-19	2020-03-11	Scotland
EPI_ISL_420625	hCoV-19	2020-03-24	France
EPI_ISL_417625	hCoV-19	2020-03-18	Iceland
EPI_ISL_418583	hCoV-19	2020-03-10	Ireland
EPI_ISL_421177	hCoV-19	2020-03-27	Spain
EPI_ISL_420876	hCoV-19	2020-03-24	Australia
EPI_ISL_416042	hCoV-19	2020-01-26	China
EPI_ISL_418686	hCoV-19	2020-03-17	England
EPI_ISL_425688	hCoV-19	2020-03-17	Scotland
EPI_ISL_418419	hCoV-19	2020-03-16	France
